#
# National Water Information System
# 2025/01/10
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
huc_cd	huc_class_cd	huc_nm
12s	15s	64s
0108020501	Other	Mill River-Connecticut River
010802050101	Other	Mill River
010802050102	Other	Pecousic Brook-Connecticut River
010802050103	Other	Muddy Brook
010802050104	Other	Stony Brook
010802050105	Other	Freshwater Brook-Connecticut River
0108020502	Other	Scantic River
010802050201	Other	Upper Scantic River
010802050202	Other	Broad Brook
010802050203	Other	Lower Scantic River
0108020503	Other	Park River
010802050301	Other	Trout Brook
010802050302	Other	North Branch Park River
010802050303	Other	Piper Brook-Park River
0108020504	Other	Hockanum River
010802050401	Other	Upper Hockanum River
010802050402	Other	Lower Hockanum River
0108020505	Other	Roaring Brook-Connecticut River
010802050501	Other	Podunk River
010802050502	Other	Stoughton Brook-Connecticut River
010802050503	Other	Salmon Brook
010802050504	Other	Roaring Brook
010802050505	Other	Goff Brook-Connecticut River
010802050506	Other	Reservoir Brook-Connecticut River
0108020506	Other	Mattabesset River
010802050601	Other	Upper Mattabesset River
010802050602	Other	Coginchaug River
010802050603	Other	Lower Mattabesset River
0108020507	Other	Higganum Creek-Connecticut River
010802050701	Other	Higganum Creek
010802050702	Other	Mill Creek-Connecticut River
0108020508	Other	Salmon River
010802050801	Other	Blackledge River
010802050802	Other	Jeremy River
010802050803	Other	Pine Brook
010802050804	Other	Moodus River
010802050805	Other	Dickinson Creek-Salmon River
0108020509	Other	Eightmile River-Connecticut River
010802050901	Other	Deep River-Connecticut River
010802050902	Other	East Branch Eightmile River
010802050903	Other	Eightmile River
010802050904	Other	Falls River
010802050905	Other	Joshua Creek-Connecticut River
01080206	Other	Westfield River
0108020601	Other	Headwaters Westfield River
010802060101	Other	Mill Brook-Westfield River
010802060102	Other	Swift River
010802060103	Other	Dead Branch
010802060104	Other	Middle Branch Westfield River
010802060105	Other	Little River-Westfield River
0108020602	Other	West Branch Westfield River
010802060201	Other	Upper West Branch Westfield River
010802060202	Other	Lower West Branch Westfield River
0108020603	Other	Outlet Westfield River
010802060301	Other	Moose Meadow Brook-Westfield River
010802060302	Other	Cobble Mountain Reservoir
010802060303	Other	Little River
010802060304	Other	Great Brook
010802060305	Other	Powdermill Brook-Westfield River
01080207	Other	Farmington River
0108020701	Other	Still River
010802070101	Other	Mad River
010802070102	Other	Sandy Brook
010802070103	Other	Still River
0108020702	Other	West Branch Farmington River
010802070201	Other	Otis Reservoir
010802070202	Other	Upper West Branch Farmington River
010802070203	Other	Clam River
010802070204	Other	Lower West Branch Farmington River
0108020703	Other	East Branch Farmington River
010802070301	Other	Hubbard River
010802070302	Other	Valley Brook-East Branch Farmington River
0108020704	Other	Headwaters Farmington River
010802070401	Other	Nepaug River
010802070402	Other	Cherry Brook-Farmington River
010802070403	Other	Copper Mine Brook
010802070404	Other	Pequabuck River
010802070405	Other	Roaring Brook-Farmington River
0108020705	Other	Salmon Brook
010802070501	Other	West Branch Salmon Brook
010802070502	Other	Salmon Brook
0108020706	Other	Outlet Farmington River
010802070601	Other	Nod Brook-Farmington River
010802070602	Other	Mill Brook-Farmington River
0109	Subregion	Massachusetts-Rhode Island Coastal
010900	Accounting Unit	Massachusetts-Rhode Island Coastal
010900	Other	Massachusetts-Rhode Island Coastal
01090001	Other	Charles
0109000101	Other	Plum Island Sound
010900010101	Other	Headwaters Parker River
010900010102	Other	Outlet Parker River
0109000102	Other	Ipswich River
010900010201	Other	Upper Ipswich River
010900010202	Other	Middle Ipswich River
010900010203	Other	Fish Brook
010900010204	Other	Howlett Brook
010900010205	Other	Lower Ipswich River
0109000103	Other	Essex River-Frontal Ipswich Bay
010900010301	Other	Essex Bay
010900010302	Other	Jones River-Annisquam River
010900010303	Other	Plum Island-Atlantic Ocean
010900010304	Other	Ipswich Bay-Atlantic Ocean
010900010305	Other	Sandy Bay-Atlantic Ocean
0109000104	Other	Saugus River
010900010401	Other	Headwaters Saugus River
010900010402	Other	Outlet Saugus River
0109000105	Other	Mystic River
010900010501	Other	Aberjona River
010900010502	Other	Mystic River
0109000106	Other	Upper Charles River
010900010601	Other	Headwaters Charles River
010900010602	Other	Chicken Brook-Charles River
010900010603	Other	Bogastow Brook
010900010604	Other	Stop River-Charles River
0109000107	Other	Lower Charles River
010900010701	Other	Fuller Brook-Charles River
010900010702	Other	Stony Brook
010900010703	Other	Beaver Brook-Charles River
010900010704	Other	Outlet Charles River
0109000108	Other	Neponset River
010900010801	Other	Headwaters Neponset River
010900010802	Other	East Branch Neponset River
010900010803	Other	Outlet Neponset River
0109000109	Other	Hingham Bay
010900010901	Other	Monatiquot River
010900010902	Other	Weir River
010900010903	Other	Hingham Bay-Frontal Quincy Bay
0109000110	Other	Boston Harbor-Massachusetts Bay
010900011001	Other	Cape Ann-Atlantic Ocean
010900011002	Other	Annisquam River-Gloucester Harbor
010900011003	Other	North River-Massachusetts Bay
010900011004	Other	Normans Woe-Massachusetts Bay
010900011005	Other	Boston Harbor
010900011006	Other	Broad Sound-Massachusetts Bay
010900011007	Other	Nahant Bay-Massachusetts Bay
010900011009	Other	Quincy Bay
010900011010	Other	Strawberry Ledge-Massachusetts Bay
010900011011	Other	Aaron River-Cohasset Harbor
010900011012	Other	Little Harbor-Massachusetts Bay
01090002	Other	Cape Cod
0109000201	Other	North River-Frontal Massachusetts Bay
010900020101	Other	Headwaters Indian Head River
010900020102	Other	Indian Head River-North River
010900020103	Other	Jones River
010900020104	Other	Outlet North River
010900020105	Other	Plymouth Bay
010900020106	Other	Green Harbor River
010900020107	Other	Massachusetts Bay-Cape Cod Bay
0109000202	Other	Cape Cod
010900020201	Other	Barnstable Harbor-Cape Cod Bay
010900020202	Other	Cape Cod National Seashore-Atlantic Ocean
010900020203	Other	Hyannis Harbor-Frontal Nantucket Sound
0109000203	Other	Mattapoisett River-Buzzards Bay
010900020301	Other	Sippican River
010900020302	Other	Weweantic River
010900020303	Other	Agawam River-Buzzards Bay
010900020304	Other	Red Brook-Onset Bay
010900020305	Other	Mattapoisett River-Frontal Buzzards Bay
010900020306	Other	Buzzards Bay
0109000204	Other	Paskamanset River-Frontal Buzzards Bay
010900020401	Other	Acushnet River
010900020402	Other	Paskamanset River
010900020403	Other	Outlet Buzzards Bay
0109000205	Other	Sakonnet Point-Frontal Rhode Island Sound
010900020501	Other	Noquochoke Lake
010900020502	Other	Westport River
010900020503	Other	Cold Brook-Rhode Island Sound
010900020504	Other	Horseneck Beach-Rhode Island Sound
0109000206	Other	Martha's Vineyard
010900020601	Other	Martha's Vineyard-Vineyard Sound
010900020602	Other	Martha's Vineyard-Atlantic Ocean
0109000207	Other	Nantucket Island
010900020700	Other	Nantucket Island-Nantucket Sound
01090003	Other	Blackstone River
0109000301	Other	Upper Blackstone River
010900030101	Other	Kettle Brook
010900030102	Other	Tatnuck Brook-Blackstone River
010900030103	Other	Quinsigamond River
010900030104	Other	Mumford River
010900030105	Other	Singletary Brook-Blackstone River
0109000302	Other	Lower Blackstone River
010900030201	Other	West River
010900030202	Other	Clear River
010900030203	Other	Chepachet River
010900030204	Other	Branch River
010900030205	Other	Mill River
010900030206	Other	Emerson Brook-Blackstone River
010900030207	Other	Abbott Run
010900030208	Other	Peters River-Blackstone River
01090004	Other	Narragansett
0109000401	Other	Town River
010900040101	Other	Satucket River
010900040102	Other	Matfield River
010900040103	Other	Town River
0109000402	Other	Upper Taunton River
010900040201	Other	Winnetuxet River-Taunton River
010900040202	Other	Assawompset Pond
010900040203	Other	Nemasket River
010900040204	Other	Cotley River-Taunton River
0109000403	Other	Threemile River
010900040301	Other	Wading River
010900040302	Other	Threemile River
0109000404	Other	Ten Mile River
010900040401	Other	Ten Mile River
0109000405	Other	Moshassuck River-Woonasquatucket River
010900040501	Other	Moshassuck River
010900040502	Other	Woonasquatucket River
0109000406	Other	Pawtuxet River
010900040601	Other	Big River
010900040602	Other	Flat River Reservoir
010900040603	Other	South Branch Pawtuxet River
010900040604	Other	Moswansicut Pond-Huntinghouse Brook
010900040605	Other	Barden Reservoir-Ponaganset River
010900040606	Other	Scituate Reservoir
010900040607	Other	North Branch Pawtuxet River
010900040608	Other	Pocasset River
010900040609	Other	Pawtuxet River
0109000407	Other	Palmer River
010900040701	Other	Palmer River
010900040702	Other	Barrington River-Warren River
0109000408	Other	Lower Taunton River
010900040801	Other	Mill River
010900040802	Other	Assonet River
010900040803	Other	Quequechan River
010900040804	Other	Taunton River-Frontal Mount Hope Bay
0109000409	Other	Narragansett Bay-Frontal Rhode Island Sound
010900040901	Other	Seekonk River-Providence River
010900040902	Other	Old Mill Creek-Narragansett Bay
010900040903	Other	Greenwich Bay
010900040904	Other	Hunt River
010900040905	Other	Mount Hope Bay
010900040906	Other	Upper West Passage
010900040907	Other	Upper East Passage
010900040908	Other	Lower West Passage
010900040909	Other	Lower East Passage
010900040910	Other	Sakonnet River
010900040911	Other	Aquidneck Island-Frontal Atlantic Ocean
010900040912	Other	Pettaquamscutt River-Frontal Atlantic Ocean
0109000410	Other	Sachuest Bay-Rhode Island Sound
010900041000	Other	Sachuest Bay-Rhode Island Sound
01090005	Cataloging Unit	Pawcatuck-Wood
01090006	Other	Point Judith-Block Island
0109000601	Other	Point Judith Pond-Frontal Block Island Sound
010900060101	Other	Saugatucket River
010900060102	Other	Point Judith Pond-Frontal Block Island Sound
010900060103	Other	Ninigret Pond-Frontal Block Island Sound
010900060104	Other	Point Judith Harbor of Refuge-Block Island Sound
0109000602	Other	Block Island-Block Island Sound
010900060201	Other	Block Island
010900060202	Other	Rhode Island Sound-Block Island Sound
0110	Subregion	Connecticut Coastal
011000	Other	Connecticut Coastal
01100001	Other	Quinebaug River
0110000101	Other	Upper Quinebaug River
011000010101	Other	Hamilton Reservoir
011000010102	Other	Headwaters Quinebaug River
011000010103	Other	McKinstry Brook-Quinebaug River
011000010104	Other	Cady Brook-Quinebaug River
011000010105	Other	Shunway Brook-Quinebaug River
0110000102	Other	French River
011000010201	Other	Upper French River
011000010202	Other	Buffumville Lake-Little River
011000010203	Other	Middle French River
011000010204	Other	Lower French River
0110000103	Other	Fivemile River
011000010301	Other	Upper Fivemile River
011000010302	Other	Lower Fivemile River
0110000104	Other	Middle Quinebaug River
011000010401	Other	Roseland Lake-Little River
011000010402	Other	Mashamoquet River
011000010403	Other	Fall Brook-Quinebaug River
0110000105	Other	Moosup River
011000010501	Other	Upper Moosup River
011000010502	Other	Quaduck Brook
011000010503	Other	Lower Moosup River
0110000106	Other	Pachaug River
011000010601	Other	Upper Pachaug River
011000010602	Other	Lower Pachaug River
0110000107	Other	Lower Quinebaug River
011000010701	Other	Blackwell Brook
011000010702	Other	Mill Brook
011000010703	Other	Broad Brook
011000010704	Other	Cory Brook-Quinebaug River
01100002	Other	Shetucket River
0110000201	Other	Willimantic River
011000020101	Other	Edson Brook
011000020102	Other	Middle River
011000020103	Other	Furnace Brook
011000020104	Other	Roaring Brook
011000020105	Other	Skungamaug River
011000020106	Other	Hop River
011000020107	Other	Tenmile River
011000020108	Other	Nelson Brook-Willimantic River
0110000202	Other	Natchaug River
011000020201	Other	Bungee Brook
011000020202	Other	Still River
011000020203	Other	Bigelow Brook
011000020204	Other	Fenton River
011000020205	Other	Mount Hope River
011000020206	Other	Sawmill Brook-Natchaug River
0110000203	Other	Shetucket River
011000020301	Other	Merrick Brook
011000020302	Other	Little River
011000020303	Other	Beaver Brook-Shetucket River
01100003	Other	Thames
0110000301	Other	Yantic River
011000030101	Other	Deep River
011000030102	Other	Susquetonscut Brook
011000030103	Other	Pease Brook-Yantic River
0110000302	Other	Thames River-Frontal New London Harbor
011000030201	Other	Poquetanuck Brook
011000030202	Other	Stony Brook
011000030203	Other	Thames River-Frontal New London Harbor
0110000303	Other	Mystic River-Frontal Fishers Island Sound
011000030301	Other	Mystic River
011000030302	Other	Poquonock River-Frontal Fishers Island Sound
011000030303	Other	Stony Brook-Frontal Fishers Island Sound
011000030304	Other	Niantic River
011000030305	Other	Fenger Brook-Frontal Long Island Sound
011000030306	Other	Pattagansett River-Frontal Long Island Sound
01100004	Other	Quinnipiac
0110000401	Other	Quinnipiac River
011000040101	Other	Eightmile River
011000040102	Other	Tenmile River
011000040103	Other	Headwaters Quinnipiac River
011000040104	Other	Muddy River
011000040105	Other	Outlet Quinnipiac River
0110000402	Other	Hammonasset River-Frontal Long Island Sound
011000040201	Other	Menunketesuck River
011000040202	Other	Hammonasset River-Frontal Clinton Harbor
011000040203	Other	East River-Frontal Guilford Harbor
011000040204	Other	West River-Frontal Guilford Harbor
011000040205	Other	Branford River
011000040206	Other	Farm River
011000040207	Other	Patchogue River-Frontal Westbrook Harbor
011000040208	Other	Indian River-Frontal Long Island Sound
0110000403	Other	Mill River-Frontal Long Island Sound
011000040301	Other	Mill River
011000040302	Other	West River
011000040303	Other	Milford Harbor-Frontal Long Island Sound
011000040304	Other	Cove River-Frontal Long Island Sound
01100005	Other	Housatonic
0110000501	Other	Headwaters Housatonic River
011000050101	Other	West Branch Housatonic River
011000050102	Other	Wahconah Falls Brook
011000050103	Other	East Branch Housatonic River
011000050104	Other	Sackett Brook-Housatonic River
011000050105	Other	Goose Pond Brook-Housatonic River
011000050106	Other	Mad River-Hop Brook
011000050107	Other	Konkapot Brook-Housatonic River
0110000502	Other	Williams River-Housatonic River
011000050201	Other	Williams River
011000050202	Other	Green River
011000050203	Other	Hubbard Brook
011000050204	Other	Ironwork Brook-Housatonic River
0110000503	Other	Konkapot River-Housatonic River
011000050301	Other	Konkapot River
011000050302	Other	Whiting River
011000050303	Other	Blackberry River
011000050304	Other	Hollenbeck River
011000050305	Other	Salmon Creek
011000050306	Other	Carse Brook-Housatonic River
0110000504	Other	Macedonia Brook-Housatonic River
011000050401	Other	Macedonia Brook
011000050402	Other	Furnace Brook-Housatonic River
0110000505	Other	Tenmile River
011000050501	Other	Headwaters Webatuck Creek
011000050502	Other	Mudge Pond Brook
011000050503	Other	Outlet Webatuck Creek
011000050504	Other	Wassaic Creek
011000050505	Other	Swamp River
011000050506	Other	Tenmile River
0110000506	Other	Lake Candlewood-Housatonic River
011000050601	Other	Lake Candlewood
011000050602	Other	East Aspetuck River
011000050603	Other	West Aspetuck River
011000050604	Other	Great Brook-Housatonic River
0110000507	Other	Shepaug River
011000050701	Other	Headwaters Shepaug River
011000050702	Other	Bantam River
011000050703	Other	Outlet Shepaug River
0110000508	Other	Still River-Housatonic River
011000050801	Other	Headwaters Still River
011000050802	Other	Limekiln Brook-Still River
011000050803	Other	Lake Lillinonah-Housatonic River
0110000509	Other	Pomperaug River
011000050901	Other	Nonnewaug River
011000050902	Other	Weekeepeemee River
011000050903	Other	Pomperaug River
0110000510	Other	Eightmile Brook-Housatonic River
011000051001	Other	Pootatuck River
011000051002	Other	Eightmile Brook
011000051003	Other	Halfway River-Housatonic River
0110000511	Other	Headwaters Naugatuck River
011000051101	Other	West Branch Naugatuck River
011000051102	Other	East Branch Naugatuck River
011000051103	Other	Leadmine Brook
011000051104	Other	Branch Brook
011000051105	Other	Northfield Brook-Naugatuck River
0110000512	Other	Outlet Naugatuck River
011000051201	Other	Hancock Brook
011000051202	Other	Steele Brook
011000051203	Other	Mad River
011000051204	Other	Hop Brook
011000051205	Other	Long Meadow Pond Brook-Naugatuck River
011000051206	Other	Little River
011000051207	Other	Bladens River-Naugatuck River
0110000513	Other	Housatonic River-Frontal Long Island Sound
011000051301	Other	Farmill River
011000051302	Other	Housatonic River-Frontal Long Island Sound
01100006	Other	Saugatuck
0110000601	Other	Saugatuck River-Frontal Long Island Sound
011000060101	Other	Aspetuck River
011000060102	Other	Headwaters Saugatuck River
011000060103	Other	Outlet Saugatuck River-Frontal Long Island Sound
0110000602	Other	Norwalk River-Frontal Norwalk Harbor
011000060201	Other	Silvermine River
011000060202	Other	Norwalk River-Frontal Norwalk Harbor
0110000603	Other	Pequonnock River-Frontal Long Island Sound
011000060301	Other	Pequonnock River-Frontal Long Island Sound
011000060302	Other	Mill River-Frontal Long Island Sound
011000060303	Other	Rooster River-Frontal Long Island Sound
0110000604	Other	Mianus River-Frontal Long Island Sound
011000060401	Other	Rippowam River-Frontal Stamford Harbor
011000060402	Other	Mianus River-Frontal Cos Cob Harbor
011000060403	Other	Byram River
011000060404	Other	Fivemile River-Frontal Long Island Sound
011000060405	Other	Horseneck Brook-Frontal Long Island Sound
01100007	Other	Pawcatuck River
0110000701	Other	Wood River
011000070101	Other	Upper Wood River
011000070102	Other	Lower Wood River
0110000702	Other	Upper Pawcatuck River
011000070201	Other	Chipuxet River-Pawcatuck River
011000070202	Other	Usquepaug River
011000070203	Other	Beaver River
011000070204	Other	Usquepaug River-Pawcatuck River
011000070205	Other	Tomaquag Brook-Pawcatuck River
0110000703	Other	Lower Pawcatuck River
011000070301	Other	Ashaway River
011000070302	Other	Shunock River
011000070303	Other	Outlet Pawcatuck River
0111	Subregion	St. Francois
011100	Accounting Unit	St. Francois
01110000	Cataloging Unit	St. Francois
02	Region	Mid Atlantic Region
0201	Subregion	Richelieu
020100	Accounting Unit	Richelieu
02010001	Cataloging Unit	Lake George
02010002	Cataloging Unit	Otter
02010003	Cataloging Unit	Winooski
02010004	Cataloging Unit	Ausable
02010005	Cataloging Unit	Lamoille
02010006	Cataloging Unit	Great Chazy-Saranac
02010007	Cataloging Unit	Missisquoi
0202	Subregion	Upper Hudson
020200	Other	Upper Hudson
02020001	Other	Upper Hudson
0202000101	Other	Headwaters Hudson River
020200010101	Other	Indian Pass Brook-Hudson River
020200010102	Other	Opalescent River
020200010103	Other	Fishing Brook
020200010104	Other	Catlin Lake
020200010105	Other	Flat Brook
020200010106	Other	Newcomb River
020200010107	Other	Beaver Brook-Hudson River
0202000102	Other	Jessup River
020200010201	Other	Mossy Vly Brook-Jessup River
020200010202	Other	Miami River
020200010203	Other	Big Brook
020200010204	Other	Wakely Brook
020200010205	Other	Squaw Brook-Indian River
0202000103	Other	Cedar River-Hudson River
020200010301	Other	Rock River
020200010302	Other	Little Squaw Brook-Cedar River
020200010303	Other	Browns Brook-Cedar River
020200010304	Other	Bear Trap Brook-Cedar River
020200010305	Other	Goodnow River
020200010306	Other	Split Rock Pond-Hudson River
0202000104	Other	Boreas River-Hudson River
020200010401	Other	Durgin Brook-Boreas River
020200010402	Other	Balfour Lake-Boreas River
020200010403	Other	Vanderwhacker Brook-Boreas River
020200010404	Other	Nate Pond Brook-Hudson River
020200010405	Other	Raquette Brook-Hudson River
020200010406	Other	North Creek
020200010407	Other	Mill Creek
020200010408	Other	Balm of Gilead Brook-Hudson River
0202000105	Other	Upper Schroon River
020200010501	Other	Sand Pond Brook-The Branch
020200010502	Other	Niagara Brook-The Branch
020200010503	Other	Black Brook
020200010504	Other	West Mill Brook-Schroon River
020200010505	Other	Bass Lake-Schroon River
020200010506	Other	Paradox Creek
020200010507	Other	Alder Creek
020200010508	Other	Mill Brook
020200010509	Other	Sucker Brook-Schroon River
0202000106	Other	Lower Schroon River
020200010601	Other	Trout Brook
020200010602	Other	Minerva Stream-Trout Brook
020200010603	Other	Alder Brook-Trout Brook
020200010604	Other	Chester Creek
020200010605	Other	Valentine Pond-Schroon River
020200010606	Other	Spuytenduivel Brook
020200010607	Other	Alder Brook-Schroon River
020200010608	Other	Big Brook-Schroon River
0202000107	Other	Stony Creek-Hudson River
020200010701	Other	Glen Creek
020200010702	Other	Millington Brook-Hudson River
020200010703	Other	Patterson Brook-Hudson River
020200010704	Other	Stony Creek
020200010705	Other	Lake Luzerne
020200010706	Other	Wolf Creek-Hudson River
02020002	Other	Sacandaga
0202000201	Other	East Branch Sacandaga River
020200020101	Other	Second Pond Brook-East Branch Sacandaga River
020200020102	Other	Kibby Brook-East Branch Sacandaga River
020200020103	Other	Stewart Creek-East Branch Sacandaga River
020200020104	Other	County Line Brook
020200020105	Other	Jimmy Creek-East Branch Sacandaga River
0202000202	Other	West Branch Sacandaga River
020200020201	Other	Fall Stream
020200020202	Other	Piseco Outlet
020200020203	Other	North Branch West Branch Sacandaga River-West Branch Sacandaga R
020200020204	Other	Hamilton Lake Stream-West Branch Sacandaga River
020200020205	Other	Devorse Creek-West Branch Sacandaga River
0202000203	Other	Upper Sacandaga River
020200020301	Other	Hatchery Brook-Sacandaga River
020200020302	Other	Cherry Brook-Sacandaga River
020200020303	Other	Kunjamuk River
020200020304	Other	Robbs Creek-Sacandaga River
020200020305	Other	Dunning Creek-Sacandaga River
020200020306	Other	Mill Creek-Sacandaga River
020200020307	Other	Doig Creek-Sacandaga River
0202000204	Other	West Stony Creek
020200020401	Other	West Stony Creek
020200020402	Other	Holmes Lake Outlet
020200020403	Other	North Branch West Stony Creek
020200020404	Other	Chase Lake Outlet-West Stony Creek
020200020405	Other	Hatch Brook-West Stony Creek
0202000205	Other	East Stony Creek
020200020501	Other	Madison Creek-East Stony Creek
020200020502	Other	Hill Creek-East Stony Creek
020200020503	Other	South Brook
020200020504	Other	Wilcox Outlet-East Stony Creek
020200020505	Other	Tenant Creek
020200020506	Other	Bear Creek-East Stony Creek
0202000206	Other	Middle Sacandaga River
020200020601	Other	Frenchman Creek-Sacandaga River
020200020602	Other	Kennyetto Creek-Sacandaga River
020200020603	Other	Cranberry Creek-Sacandaga River
020200020604	Other	Hans Creek-Sacandaga River
020200020605	Other	Mayfield Creek-Sacandaga River
020200020606	Other	Hunters Creek-Sacandaga River
0202000207	Other	Lower Sacandaga River
020200020701	Other	Beecher Creek
020200020702	Other	Sand Creek
020200020703	Other	Paul Creek
020200020704	Other	Daly Creek
020200020705	Other	Bell Brook-Sacandaga River
020200020706	Other	Breen Brook-Sacandaga River
02020003	Other	Hudson-Hoosic
0202000301	Other	Black Creek
020200030101	Other	West Branch Black Creek
020200030102	Other	Mill Brook-White Creek
020200030103	Other	Black Creek
0202000302	Other	Headwaters Batten Kill
020200030201	Other	West Branch Batten Kill-Batten Kill
020200030202	Other	Warm Brook
020200030203	Other	Lye Brook-Batten Kill
020200030204	Other	Camden Creek
020200030205	Other	Green River-Batten Kill
020200030206	Other	Steele Brook-Batten Kill
0202000303	Other	Batten Kill
020200030301	Other	Whitaker Brook
020200030302	Other	Fly Creek
020200030303	Other	Batten Kill
0202000304	Other	Fish Creek
020200030401	Other	Upper Kayaderosseras Creek
020200030402	Other	Glowegee Creek
020200030403	Other	Middle Kayaderosseras Creek
020200030404	Other	Geyser Brook
020200030405	Other	Bog Meadow Brook
020200030406	Other	Lower Kayaderosseras Creek
020200030407	Other	Drummond Creek-Fish Creek
020200030408	Other	Fish Creek
0202000305	Other	Snook Kill-Hudson River
020200030501	Other	Sturdevant Creek-Hudson River
020200030502	Other	Clendon Brook-Hudson River
020200030503	Other	Old Champlain Canal
020200030504	Other	North Branch Snook Kill
020200030505	Other	Snook Kill
020200030506	Other	Glens Falls Feeder Canal-Hudson River
020200030507	Other	Moses Kill
020200030508	Other	Slocum Creek-Hudson River
0202000306	Other	Upper Hoosic River
020200030601	Other	Headwaters Hoosic River
020200030602	Other	North Branch Hoosic River
020200030603	Other	Phillips Creek-Hoosic River
020200030604	Other	Green River
020200030605	Other	Hemlock Brook-Hoosic River
0202000307	Other	Walloomsac River
020200030701	Other	Roaring Branch Walloomsac Brook
020200030702	Other	South Stream-Walloomsac River
020200030703	Other	Little White Creek
020200030704	Other	Walloomsac River
0202000308	Other	Middle Hoosic River
020200030801	Other	Headwaters Little Hoosic River
020200030802	Other	Little Hoosic River
020200030803	Other	Ladd Brook-Hoosic River
020200030804	Other	Browns Brook-Hoosic River
0202000309	Other	Owl Kill
020200030901	Other	White Creek
020200030902	Other	Owl Kill
0202000310	Other	Lower Hoosic River
020200031001	Other	Wampecack Creek
020200031002	Other	Nipmoose Brook-Hoosic River
020200031003	Other	Sunkauissia Creek
020200031004	Other	Otter Creek
020200031005	Other	Tomhannock Creek
020200031006	Other	Hoosic River
0202000311	Other	Anthony Kill-Hudson River
020200031101	Other	McAuley Brook-Hudson River
020200031102	Other	Cooley Kill
020200031103	Other	Anthony Kill
020200031104	Other	Mill Hollow Brook-Hudson River
020200031105	Other	Deep Kill
020200031106	Other	McDonald Creek-Hudson River
020200031107	Other	Troy Reservoir-Hudson River
02020004	Other	Mohawk
0202000401	Other	Delta Reservoir-Mohawk River
020200040101	Other	West Branch Mohawk River
020200040102	Other	Lansing Kill
020200040103	Other	Stringer Brook-Mohawk River
020200040104	Other	Wells Creek
020200040105	Other	Delta Reservoir-Mohawk River
0202000402	Other	Oriskany Creek
020200040201	Other	Headwaters Oriskany Creek
020200040202	Other	Upper Oriskany Creek
020200040203	Other	Middle Oriskany Creek
020200040204	Other	Deans Creek
020200040205	Other	Lower Oriskany Creek
0202000403	Other	Ninemile Creek-Mohawk River
020200040301	Other	Hurlbut Glen Brook-Mohawk River
020200040302	Other	Wheelers Creek-Mohawk River
020200040303	Other	Sixmile Creek
020200040304	Other	Upper Ninemile Creek
020200040305	Other	Middle Ninemile Creek
020200040306	Other	Lower Ninemile Creek
020200040307	Other	Old Erie Canal-Mohawk River
020200040308	Other	Roberts Creek-Saquoit Creek
020200040309	Other	Mud Creek-Saquoit Creek
020200040310	Other	Crane Creek-Mohawk River
020200040311	Other	Reall Creek-Mohawk River
0202000404	Other	Upper West Canada Creek
020200040401	Other	Headwaters West Canada Creek
020200040402	Other	Indian River
020200040403	Other	Metcalf Brook
020200040404	Other	Honnedaga Lake-West Canada Creek
020200040405	Other	Big Brook-West Canada Creek
020200040406	Other	Headwaters South Branch West Canada Creek
020200040407	Other	Vly Brook-South Branch West Canada Creek
0202000405	Other	Middle West Canada Creek
020200040501	Other	Fourmile Brook
020200040502	Other	Concklin Brook-West Canada Creek
020200040503	Other	Mill Creek
020200040504	Other	Headwaters Black Creek
020200040505	Other	Ash Creek-Black Creek
020200040506	Other	Cincinnati Creek
020200040507	Other	Hinckley Reservoir-West Canada Creek
0202000406	Other	Lower West Canada Creek
020200040601	Other	White Creek
020200040602	Other	Shed Brook-West Canada Creek
020200040603	Other	City Brook-West Canada Creek
020200040604	Other	North Creek-West Canada Creek
0202000407	Other	Nowadaga Creek-Mohawk River
020200040701	Other	Sterling Creek
020200040702	Other	Ferguson Creek-Mohawk River
020200040703	Other	Moyer Creek
020200040704	Other	Steele Creek
020200040705	Other	Fulmer Creek
020200040706	Other	Bridenbecker Creek-Mohawk River
020200040707	Other	Beaver Brook-Mohawk River
020200040708	Other	Nowadaga Creek
020200040709	Other	Crum Creek-Mohawk River
0202000408	Other	East Canada Creek
020200040801	Other	Headwaters East Canada Creek
020200040802	Other	North Creek
020200040803	Other	Upper East Canada Creek
020200040804	Other	Middle Sprite Creek
020200040805	Other	Sprite Creek
020200040806	Other	Spruce Creek
020200040807	Other	Middle East Canada Creek
020200040808	Other	Lower East Canada Creek
0202000409	Other	Canajoharie Creek-Mohawk River
020200040901	Other	Zimmerman Creek-Mohawk River
020200040902	Other	Headwaters Otsquago Creek
020200040903	Other	Fort Plain-Otsquago Creek
020200040904	Other	Peck Lake-Caroga Creek
020200040905	Other	North Creek-Caroga Creek
020200040906	Other	Upper Canajoharie Creek
020200040907	Other	Middle Canajoharie Creek
020200040908	Other	Lower Canajoharie Creek
020200040909	Other	Mother Creek-Mohawk River
0202000410	Other	Cayadutta Creek-Mohawk River
020200041001	Other	Headwaters Flat Creek
020200041002	Other	Flat Creek-Mohawk River
020200041003	Other	Yatesville Creek-Mohawk River
020200041004	Other	Headwaters Cayadutta Creek
020200041005	Other	Hall Creek-Cayadutta Creek
020200041006	Other	Auries Creek-Mohawk River
0202000411	Other	Alplaus Kill-Mohawk River
020200041101	Other	Kayaderosseras Creek-Mohawk River
020200041102	Other	South Chuctanunda Creek
020200041103	Other	North Chuctanunda Creek
020200041104	Other	Evas Kill-Mohawk River
