#
# National Water Information System
# 2025/01/10
#
#
# Date Retrieved: USGS Water Data for the Nation Help System
#
huc_cd	huc_class_cd	huc_nm
12s	15s	64s
010100050101	Other	Meduxnekeag Stream
010100050102	Other	Davis Brook
010100050103	Other	South Branch Meduxnekeag River
0101000502	Other	North Branch Meduxnekeag River
010100050201	Other	Upper South Brook
010100050202	Other	Lower South Brook
010100050203	Other	Dunn Brook-North Branch Meduxnekeag River
010100050204	Other	Dead Stream
010100050205	Other	Hoyt Brook-North Branch Meduxnekeag River
010100050206	Other	Carters Brook-North Branch Meduxnekeag River
0101000503	Other	Mill Brook-Meduxnekeag River
010100050301	Other	Meduxnekeag Lake
010100050302	Other	Mill Brook
010100050303	Other	Nickerson Lake-Meduxnekeag River
010100050304	Other	Moose Brook
010100050305	Other	Captain Ambrose Bear Stream
010100050306	Other	Big Brook
010100050307	Other	Cook Brook-Meduxnekeag River
010100050308	Other	Britton Lake-Meduxnekeag River
01010006	Other	Headwaters Saint John River
0101000601	Other	Baker Branch Saint John River
010100060101	Other	Fourth Saint John Pond
010100060102	Other	Fifth Saint John Pond
010100060103	Other	Sweeney Brook
010100060104	Other	Campbell Brook-Baker Branch Saint John River
010100060105	Other	Baker Lake
010100060106	Other	Desolation Brook
010100060107	Other	Saint Francis Brook
010100060108	Other	Turner Brook
010100060109	Other	Brailey Brook
010100060110	Other	010100060110-Baker Branch Saint John River
010100060111	Other	Baker Branch Saint John River
0101000602	Other	Southwest Branch Saint John River
010100060201	Other	Little Saint John Lake-Southwest Branch St. John River
010100060202	Other	South Morning Stream-Southwest Branch Saint John River
010100060203	Other	Upper Little Southwest Branch Saint John River
010100060204	Other	Lower Little Southwest Branch Saint John River
010100060205	Other	Doucet Stream-Southwest Branch Saint John River
010100060206	Other	Dead Brook-Southwest Branch Saint John River
010100060207	Other	Doucie Brook
010100060208	Other	Knowles Brook
010100060209	Other	Southwest Branch Saint John River
0101000603	Other	Daaquam River
010100060309	Other	Lower Daaquam River
0101000604	Other	Northwest Branch Saint John River
010100060405	Other	Riviere Leverrier
010100060407	Other	Riviere a la Loutre
010100060408	Other	Lac Frontiere-Northwest Branch Saint John River
010100060409	Other	Northwest Branch Saint John River
01010007	Other	Big Black River-Saint John River
0101000701	Other	Mary L Pond-Saint John River
010100070101	Other	Ledge Rapids-Saint John River
010100070102	Other	Burntland Brook
010100070103	Other	Mary L Pond-Saint John River
0101000702	Other	Sweeney Brook-Saint John River
010100070201	Other	Ninemile Brook
010100070202	Other	Sixmile Brook-Saint John River
010100070203	Other	White Brook-Saint John River
010100070204	Other	Priestly Brook-Saint John River
010100070205	Other	Sweeney Brook-Saint John River
0101000703	Other	Depot Stream
010100070301	Other	Upper Depot Stream
010100070302	Other	Glazier Brook
010100070303	Other	Middle Depot Stream
010100070304	Other	Lower Depot Stream
010100070305	Other	Outlet Depot Stream
0101000704	Other	Charles Pond-Big Black River
010100070408	Other	Riviere Gobeil
010100070409	Other	Trout River-Big Black River
010100070410	Other	Charles Pond-Big Black River
0101000705	Other	Shield Branch
010100070503	Other	Riviere des Gagnon
010100070504	Other	Little Saint Roch River
010100070505	Other	Saint Roch Riviere-Shields Branch
010100070506	Other	Shields Branch
0101000706	Other	Big Black River
010100070601	Other	Fivemile Brook
010100070602	Other	Twomile Brook
010100070603	Other	Big Black River
0101000707	Other	Chimenticook Stream
010100070702	Other	East Lake
010100070703	Other	Chimenticook Stream
0101000708	Other	Schoolhouse Rapids-Saint John River
010100070801	Other	Schoolhouse Rapids-Saint John River
010100070802	Other	West Branch Pocwock Stream
010100070803	Other	East Branch Pocwock Stream
010100070804	Other	Pocwock Stream
010100070805	Other	Ouellette Brook-Saint John River
0101000709	Other	Little Black River
010100070901	Other	Beaver Branch
010100070902	Other	Upper Little Black River
010100070904	Other	West Branch Little Black River
010100070905	Other	Campbell Branch
010100070906	Other	Rocky Brook
010100070907	Other	Middle Little Black River
010100070908	Other	Lower Little Black River
0101000710	Other	Fox Brook-Saint John River
010100071001	Other	Fox Brook
010100071002	Other	Brown Brook
010100071003	Other	Walker Brook-Saint John River
01010008	Other	Saint Francis River-Saint John River
0101000801	Other	Bran Lake-Saint John River
010100080101	Other	Pelletier Brook
010100080102	Other	Wyles Brook-Saint John River
010100080103	Other	Petite Brook-Saint John River
0101000802	Other	Pohenegamook Lake
010100080206	Other	Pohenegamook Lake-Saint Francis River
0101000804	Other	Saint Francis River
010100080401	Other	Wildcat Brook
010100080403	Other	Dead Brook
010100080404	Other	Ruisseau des Sources-Saint Francis River
010100080405	Other	Jones Brook
010100080406	Other	Beau Lake-Saint Francis River
010100080407	Other	Yankeetuladi Brook
010100080408	Other	Falls Brook
010100080409	Other	Saint Francis River
0101000805	Other	Crocs River-Saint John River
010100080504	Other	Hunnewell Island-Saint John River
010100080505	Other	Vasseur Stream-Saint John River
0101000812	Other	Gagnon Brook-Saint John River
010100081201	Other	Caron Brook
010100081202	Other	Patrick Brook-Saint John River
010100081203	Other	Gagnon Brook-Saint John River
01010009	Other	Little River-Saint John River
0101000908	Other	Evans Brook-Saint John River
010100090801	Other	Thibodeau Brook-Saint John River
010100090802	Other	La Grande Island-Saint John River
010100090804	Other	Violette Stream
010100090805	Other	Septiemel Island-Saint John River
010100090806	Other	Hammond Brook
010100090807	Other	Coombes Brook-Saint John River
010100090808	Other	Martin Brook-Saint John River
010100090809	Other	Rapide de Femme Stream-Saint John River
01010010	Other	Becaguimec Stream-Saint John River
0101001001	Other	River De Chute-Saint John River
010100100101	Other	River de Chute
010100100103	Other	Upper Guisiguit Brook
0101001002	Other	Big Presque Isle Stream
010100100201	Other	Lake Christina-Prestile Stream
010100100202	Other	Rideout Brook-Prestile Stream
010100100203	Other	Rocky Brook
010100100204	Other	Three Brooks
010100100205	Other	Whitney Brook
010100100206	Other	Young Brook-Prestile Stream
010100100207	Other	Big Presque Isle Stream
01010011	Other	Keswick River-Saint John River
0101001101	Other	Eel River
010100110104	Other	Mud Brook-Bull Creek
0102	Subregion	Penobscot
010200	Other	Penobscot
01020001	Other	West Branch Penobscot River
0102000101	Other	North Branch Penobscot River
010200010101	Other	Abacotnetic Stream
010200010102	Other	Rainey Brook
010200010103	Other	Norris Brook
010200010104	Other	Dole Pond
010200010105	Other	Dole Brook
010200010106	Other	North Branch Penobscot River
0102000102	Other	Seeboomook Lake
010200010201	Other	Threemile Brook-South Branch Penobscot River
010200010202	Other	Penobscot Lake
010200010203	Other	Penobscot Brook
010200010204	Other	Little Penobscot Brook-South Branch Penobscot River
010200010205	Other	Hale Brook
010200010206	Other	Alder Brook
010200010207	Other	Canada Falls Lake
010200010208	Other	Gulliver Brook
010200010209	Other	Nulhedus Stream
010200010210	Other	Seeboomook Lake
0102000103	Other	Upper West Branch Penobscot River
010200010301	Other	Elm Stream
010200010302	Other	Russell Stream
010200010303	Other	Kidney Brook
010200010304	Other	Maxfield Brook
010200010305	Other	Lobster Lake-Lobster Stream
010200010306	Other	Ragmuff Stream
010200010307	Other	Pine Stream
010200010308	Other	Upper West Branch Penobscot River
0102000104	Other	Caucomgomoc Lake
010200010401	Other	Loon Lake
010200010402	Other	Big Scott Brook
010200010403	Other	Wadleigh Stream-Ciss Stream
010200010404	Other	Caucomgomoc Lake
0102000105	Other	Chesuncook Lake
010200010501	Other	Black Pond
010200010502	Other	Umbazookus Lake
010200010503	Other	Cuxabexis Lake
010200010504	Other	Red Brook
010200010505	Other	Ragged Lake
010200010506	Other	Ragged Stream
010200010507	Other	Harrington Lake
010200010508	Other	Ripogenus Stream
010200010509	Other	Chesuncook Lake
0102000106	Other	Nesowadnehunk Stream
010200010601	Other	Nesowadnehunk Lake
010200010602	Other	Nesowadnehunk Stream
0102000107	Other	Nahamakanta Stream
010200010701	Other	Rainbow Lake
010200010702	Other	Pollywog Pond
010200010703	Other	Nahmakanta Lake
010200010704	Other	Nahmakanta Stream
0102000108	Other	Jo-Mary Lake
010200010801	Other	Upper Jo-Mary Lake
010200010802	Other	Crawford Pond
010200010803	Other	Cooper Pond
010200010804	Other	Mud Pond
010200010805	Other	Jo-Mary Lake
0102000109	Other	Middle West Branch Penobscot River
010200010901	Other	Katahdin Stream
010200010902	Other	Abol Stream
010200010903	Other	First Debsconeag Lake
010200010904	Other	Middle West Branch Penobscot River
010200010905	Other	Pemadumcook Lake
010200010906	Other	Nollesemic Lake
010200010907	Other	Lower West Branch Penobscot River
0102000110	Other	Lower West Branch Penobscot River
010200011001	Other	Lower Togue Pond
010200011002	Other	Sandy Stream
010200011003	Other	Big Mud Brook
010200011004	Other	Millinocket Lake
010200011005	Other	Millinocket Stream
010200011006	Other	Schoodic Stream
010200011007	Other	Outlet West Branch Penobscot River
01020002	Other	East Branch Penobscot River
0102000201	Other	Chamberlain Lake-Webster Brook
010200020101	Other	East Branch Allagash Stream
010200020102	Other	West Branch Allagash Stream-Allagash Lake
010200020103	Other	Ellis Brook
010200020104	Other	Mud Pond
010200020105	Other	Chamberlain Lake
010200020106	Other	Telos Lake
010200020107	Other	Webster Lake
010200020108	Other	Webster Brook
0102000202	Other	Upper East Branch Penobscot River
010200020201	Other	Third Lake-East Branch Penobscot River
010200020202	Other	Brayley Brook-East Branch Penobscot River
010200020203	Other	Lower South Branch Pond
010200020204	Other	Trout Brook
010200020205	Other	Grand Lake Matagamon
0102000203	Other	Middle East Branch Penobscot River
010200020301	Other	Bowlin Brook
010200020302	Other	Haskell Deadwater-East Branch Penobscot River
010200020303	Other	Big Spring Brook
010200020304	Other	Lunksoos Lake-East Branch Penobscot River
0102000204	Other	Seboeis River
010200020401	Other	Grand Lake Seboeis
010200020402	Other	Hay Brook
010200020403	Other	Scraggly Brook
010200020404	Other	Hay Lake
010200020405	Other	Sawtelle Brook
010200020406	Other	Upper Seboeis River
010200020407	Other	Shin Brook
010200020408	Other	Lower Seboeis River
0102000205	Other	Lower East Branch Penobscot River
010200020501	Other	Katahdin Brook
010200020502	Other	Wassataquoik Stream
010200020503	Other	Soldier Brook
010200020504	Other	Swift Brook
010200020505	Other	Mud Brook
010200020506	Other	Meadow Brook
010200020507	Other	Outlet East Branch Penobscot River
01020003	Other	Mattawamkeag River
0102000301	Other	West Branch Mattawamkeag River
010200030101	Other	Rockabema Lake
010200030102	Other	West Hastings Brook
010200030103	Other	East Hastings Brook
010200030104	Other	Alder Brook
010200030105	Other	Crystal Lake-Crystal Brook
010200030106	Other	Cold Brook
010200030107	Other	Fish Stream
010200030108	Other	Caribou Lake-Sly Brook
010200030109	Other	Upper West Branch Mattawamkeag River
010200030110	Other	Dyer Brook
010200030111	Other	Middle West Branch Mattawamkeag River
010200030112	Other	Babcock Brook
010200030113	Other	Lower West Branch Mattawamkeag River
0102000302	Other	East Branch Mattawamkeag River
010200030201	Other	Upper East Branch Mattawamkeag River
010200030202	Other	Middle East Branch Mattawamkeag River
010200030203	Other	Pleasant Lake
010200030204	Other	Beaver Brook
010200030205	Other	Lower East Branch Mattawamkeag River
0102000303	Other	Upper Mattawamkeag River
010200030301	Other	Scagrock Brook
010200030302	Other	Battle Brook
010200030303	Other	Upper Mattawamkeag River
0102000304	Other	Baskahegan Stream
010200030401	Other	Baskahegan Lake
010200030402	Other	Crooked Brook Flowage
010200030403	Other	Lower Hot Brook Lake
010200030404	Other	Baskahegan Stream
0102000305	Other	Middle Mattawamkeag River
010200030501	Other	Wytopitlock Lake
010200030502	Other	Wytopitlock Stream
010200030503	Other	Mattagodus Stream
010200030504	Other	Smith Brook
010200030505	Other	Hawkins Brook
010200030506	Other	Finn Brook
010200030507	Other	Meadow Brook
010200030508	Other	Little Meadow Brook-Meadow Brook
010200030509	Other	Mud Brook
010200030510	Other	Crossuntic Stream
010200030511	Other	Middle Mattawamkeag River
0102000306	Other	Molunkus Stream
010200030601	Other	West Branch Molunkus Stream
010200030602	Other	East Branch Molunkus Stream
010200030603	Other	Upper Molunkus Stream
010200030604	Other	Molunkus Lake
010200030605	Other	Lower Macwahoc Lake-Macwahoc Stream
010200030606	Other	Macwahoc Stream
010200030607	Other	Lower Molunkus Stream
0102000307	Other	Lower Mattawamkeag River
010200030701	Other	Silver Lake
010200030702	Other	East Branch Mattakeunk Stream
010200030703	Other	Mattakeunk Stream
010200030704	Other	Lower Mattawamkeag River
01020004	Other	Piscataquis River
0102000401	Other	Upper Piscataquis River
010200040101	Other	West Shirley Bog
010200040102	Other	Bald Mountain Pond
010200040103	Other	West Branch Piscataquis River
010200040104	Other	Shirley Pond
010200040105	Other	East Branch Piscataquis River
010200040106	Other	Brown Brook
010200040107	Other	Thorn Brook
010200040108	Other	Kingsbury Pond
010200040109	Other	Carlton Stream
